nom,leonoreid,diplomes,professions
Georges de Burosse,LH/395/102,,personnalité politique
Bernard Florian Bouet,LH/310/40,,personnalité politique
Pierre Charles,LH/491/17,,personnalité politique
Jean-Baptiste de Chaudordy,LH/505/23,,personnalité politique
Rémy Chazallon,LH/513/75,,personnalité politique
François Cholat,LH/530/45,,personnalité politique
Désiré Chevassu,LH/524/38,,personnalité politique
Simon Combier,LH/576/27,,magistrat | personnalité politique | avocat
Bernard-Camille Collas,LH/566/2,,personnalité politique
Friedrich Jacob Culmann,LH/639/69,,personnalité politique
Charles Dariot,LH/661/56,,personnalité politique
Louis Denis,LH/731/93,,personnalité politique
Alexandre de Dompierre d'Hornoy,LH/788/3,,personnalité politique
Gaspard Dubruel,LH/817/75,,personnalité politique
Gabriel Dufour-Raffier,LH/833/55,,personnalité politique | avocat
Louis Jean François Diguet,LH/777/27,,personnalité politique
Joseph Dupré,LH/859/56,,personnalité politique
César Duquenne,LH/864/6,,personnalité politique
Henri Emmery,LH/896/54,,personnalité politique | ingénieur
Frédéric Engelhardt,LH/898/8,,personnalité politique
Alfred de Faultrier,LH/938/53,,personnalité politique
Louis Flandin,LH/980/39,,personnalité politique
Victor Foucqueteau,LH/1007/16,,personnalité politique
Victor Louis Gain,LH/1056/55,,personnalité politique
Louis Gasselin de Chantenay,LH/1083/63,,personnalité politique
Antoine Gourd,LH/1178/58,,personnalité politique
Joseph-Marie Graveran,LH/1193/64,,professeur des écoles | prêtre catholique | personnalité politique
Mathieu Louis Hocquart,LH/1304/44,,magistrat | personnalité politique
Étienne de Laborde,LH/1416/29,,personnalité politique
Pierre de Lagrevol,LH/1443/20,,personnalité politique
Louis Théodore de Lasalle,LH/1489/66,,personnalité politique
Philippe Lebleu,LH/1516/42,,personnalité politique
Charles Eugène Lébraly,LH/1520/19,,magistrat | haut fonctionnaire | personnalité politique | poète
Pierre Nicolas Lefèvre,LH/1550/48,,personnalité politique
André Alexandre Legrand,LH/1560/21,,personnalité politique
André Jean Lemaire,LH/1574/17,,personnalité politique
Nicolas Levet,LH/1627/43,,personnalité politique
Joseph Ambroise Lorette,LH/1659/13,,personnalité politique
Eugène Loyer,LH/1669/50,,personnalité politique
Jacques Mahul,LH/1691/1,,chroniqueur | personnalité politique
Jacques Maissiat,LH/1699/26,,personnalité politique | médecin
Joseph de Malaret,LH/1702/34,,personnalité politique
Jean Manescau,LH/1715/31,,personnalité politique
Jean-Louis Marion,LH/1744/20,,personnalité politique
Marcelin Maurel,LH/1801/15,,personnalité politique
Christian Mazé-Launay,LH/1810/78,,marchand | personnalité politique
Adrien Michaut,LH/1862/4,,personnalité politique
Pierre-Frédéric Minal,LH/1882/63,,officier | personnalité politique
Louis Émile Millotte,LH/1881/60,,personnalité politique
Jules Alexandre Monet,LH/1904/53,,personnalité politique
Adolphe Moreau,LH/1930/61,,personnalité politique
Joseph Morlot,LH/1942/20,,personnalité politique
Jacques Noblet,LH/1994/50,,personnalité politique
André Charles Négrier,LH/1980/18,,personnalité politique
Camille Pierre Alexis Paganel,LH/2032/59,,personnalité politique
Théodore Parès,LH/2051/21,,personnalité politique | avocat
Pierre Perret,LH/2107/19,,personnalité politique
Antoine Pervinquière,LH/2118/26,,personnalité politique
Hippolyte Piquet,LH/2171/14,,personnalité politique
Raymond Planté,LH/2177/31,,personnalité politique
Guillaume Racinet,LH/2256/25,,personnalité politique
Louis de Querhoent,LH/2246/67,,personnalité politique
Félix Jean-Baptiste Joseph Reibell,LH/2287/42,,personnalité politique | ingénieur
Victor Résal,LH/2303/27,,personnalité politique | avocat
Alexandre Rey,LH/2307/50,,préfet | personnalité politique
Antoine Ressigeac,LH/2303/61,,magistrat | personnalité politique
Philippe Rey,LH/2309/6,,personnalité politique
Gustave Rolland,LH/2372/18,,personnalité politique
Jules Roussel,LH/2404/13,,personnalité politique
Jean Royol,LH/2420/64,,personnalité politique
René Joseph Teisseire,LH/2573/90,,personnalité politique
Jean Isaac Tondu du Metz,LH/2612/46,,personnalité politique
Hippolyte de Tonnac,LH/2612/62,,personnalité politique
Nicolas Totain,LH/2614/70,,personnalité politique
Louis Vernhette,LH/2693/11,,personnalité politique
Amédée Vernhette,LH/2693/9,,personnalité politique
Charles Anglès,LH/39/43,,personnalité politique
Gaston Bergeret,LH/189/43,,écrivain
Jean Jullien,LH/1389/56,,critique | dramaturge
André Commentry,19800035/790/89261,,personnalité politique
Albert Chérel,19800035/378/50723,,philologue | romaniste | professeur d'université
Pierre Charles Sylvestre,LH/2518/67,,personnalité politique
Jean Serres,LH/2507/60,,personnalité politique
Isaac Étienne de Larue,LH/1489/10,,archiviste | historien | personnalité politique
Jacques Louis Saint-Martin,LH/2438/47,,personnalité politique
Louis-Alexis Delmas,19800035/1210/39744,,personnalité politique
Hélène Nautré,19800035/1385/59968,,personnalité politique
Charles Gaillardot,LH/1056/10,,botaniste | médecin
Louis Faure,LH/942/7,,personnalité politique
Joseph Provensal de Lompré,LH/2230/43,,personnalité politique
Jean-François Bonnot,LH/291/4,,personnalité politique
Télesphore Caudron,19800035/300/40401,,personnalité politique
Michel Peytel,19800035/1155/32044,,personnalité politique
Dominique Renucci,19800035/983/13839,,personnalité politique | militaire
Henri Duflot,19800035/1145/31050,,pharmacien | personnalité politique
Pierre de Cardonnel,LH/424/101,,personnalité politique | avocat
Jean Jullou,LH/1390/14,,personnalité politique
Pierre Claude François Le Dissez de Penanrun,LH/1542/28,,personnalité politique
Jean-François Roussin,LH/2407/48,,personnalité politique
Joachim Renaud,LH/2297/25,,personnalité politique
René Mathurin Robert,LH/2346/9,,personnalité politique
Louis François Le Gallic de Kerizouet,LH/1555/21,,personnalité politique
René Marie Jollivet,LH/1370/59,,personnalité politique
Honoré Bucelle,LH/387/34,,personnalité politique
Jean-Baptiste-Barthélemy Lajard,LH/1447/44,,personnalité politique
Victor Avoyne de Chantereyne,LH/81/59,,personnalité politique
Olivier Bergevin,LH/190/52,,personnalité politique
Edme Canat,19800035/859/995,,personnalité politique
François-Marie-Alexandre Labrouste,LH/1420/93,,personnalité politique
Jean-Louis Soye,LH/2544/48,,officier
René Ithurbide,19800035/1427/65091,,personnalité politique
Charles Rolland Néel de La Vigne,LH/1979/58,,personnalité politique
Louis René de Gouyon-Thaumatz,LH/1182/88,,personnalité politique
Joseph François René de Kergariou,LH/1397/41,,personnalité politique
Marcel Deviq,19800035/385/51588,,personnalité politique
Jean-Baptiste Garnier du Fougeray,LH/1079/8,,personnalité politique
Pierre Louis Dupont des Loges,LH/857/27,,personnalité politique
Jean-François Simonnot,LH/2526/41,,personnalité politique
Gabriel François Charles Frémin-Dumesnil,LH/1033/33,,personnalité politique
Marc Valentin Regnouf de Vains,LH/2287/3,,personnalité politique
Jean-François Pierre Dudon,LH/829/62,,personnalité politique
Nicolas Daveluy-Bellencourt,LH/671/50,,personnalité politique
Victor Florence Pollet,LH/2192/74,,graveur sur cuivre | peintre
Paul Daniel Olivier Rayet,LH/2273/36,,philologue | linguiste | archéologue | historien de l'art
Maurice Abadie,19800035/101/12667,,officier
Jacques de La Grange-Gourdon,LH/1189/99,,personnalité politique
Antoine Joseph Veaux,LH/2681/88,,personnalité politique
Jean-François-César de Guilhermy,LH/1232/55,,personnalité politique
François Duval de Chassenon de Curzay,LH/884/49,,personnalité politique
Michel-Ange d'Ornano,LH/2022/24,,personnalité politique
Charles Aubry,LH/67/69,,personnalité politique
Jean Claret,LH/542/25,,personnalité du monde des affaires
"Alexandre, Marie Gassot De Fussy",LH/1084/27,,personnalité politique
Antoine Boirot,LH/269/51,,personnalité politique | avocat
"Antoine, Louis, Victor, René De La Tour Du Pin De La Charce",LH/2617/50,,personnalité politique
Christophe Doublat,LH/795/56,,personnalité politique
"Daniel, Jacques, Jean, David Brière",LH/364/76,,personnalité politique
"Claude, Hyacinthe Blaudin-Valière",LH/256/14,,personnalité politique
"Emmanuel, Marie, Amédée Lebeau",LH/1512/40,,magistrat | personnalité politique
François Bailly,LH/94/13,,personnalité politique
François Pomiès,LH/2193/57,,personnalité politique
François Ignace Metz,LH/1849/27,,personnalité politique
"Georges, Marie, Jérôme Millin Duperreux",LH/1879/44,,personnalité politique
Hugues Croizet,LH/633/10,,personnalité politique
"Henri, Félix De Pélissier",LH/2083/18,,soldat | personnalité politique
"Henri, Louis, Charles Bouteiller de Châteaufort",LH/338/68,,personnalité politique
Jacques Collard,LH/565/46,,personnalité politique
"Jacques, Barthélémy Noaille",LH/1994/8,,personnalité politique
"Jean, Bernard, Marie Figarol",LH/971/20,,magistrat | personnalité politique
"Jean, Antoine, Martin Rodière",LH/2364/53,,personnalité politique
Jean Gaspard Julien de Godailh,LH/1158/4,,personnalité politique
Jean Guillaume Chabalier,LH/463/34,,personnalité politique
Jean Philippe Schmit,LH/2482/2,,lithographe | fonctionnaire | personnalité politique | écrivain
Jean-Marie-Victor Dauphin de Verna,LH/668/56,,personnalité politique
"Jean, René, Guillaume De Boisclaireau",LH/1222/74,,soldat | personnalité politique
Joseph Gras,LH/1191/68,,personnalité politique
Joseph Vigier,LH/2712/12,,personnalité politique
"Louis, Antoine, Innocent Revoire",LH/2307/27,,personnalité politique
"Louis, Charles, Etienne Lemaistre",LH/1575/38,,personnalité politique
"Louis, Alexandre, Joseph, Antoine Delbez",19800035/1171/34651,,juriste | personnalité politique
"Louis, Joseph, Marie Potteau d'Hancardrie",LH/2207/48,,personnalité politique
Michel Chevallier,LH/523/51,,personnalité politique
"Michel, Jean-Baptiste, Jacques Aroux",LH/57/20,,personnalité politique
Nicolas Serpillon,LH/2505/34,,personnalité politique
Pascal Elie,LH/894/35,,personnalité politique
Pierre Gauthier,LH/1096/6,,magistrat | personnalité politique
"Pierre, Mathieu, Philippe, Joseph Dumoulin",LH/848/63,,personnalité politique
Stanislas Michel François Vallet De Merville,LH/2666/75,,personnalité politique
Antoine Alexandre de Canouville,LH/419/18,,personnalité politique
Auguste Louis Marie de Gibon,LH/1130/49,,officier | personnalité politique
Charles de Béthisy,LH/226/36,,officier | personnalité politique
Laurent Demortreux,LH/728/51,,personnalité politique
André Joseph Bayard de Plainville,LH/148/29,,personnalité politique
Jacques Caquet,LH/423/28,,maître de forges | propriétaire terrien | personnalité politique
Pierre Marie Desmaret,LH/751/39,,personnalité politique
Adrien Jean Alexandre Lucy,LH/1674/40,,personnalité politique | avocat
Étienne François Simonneau,LH/2526/4,,personnalité politique
Félix Bonnaire,LH/281/81,,personnalité politique
Adrien Jean Louis Dufresnoy,LH/836/42,,personnalité politique
Louis Anne Esprit Rallier,LH/2262/18,,personnalité politique
Nicolas Charles Tronchon,LH/2633/5,,personnalité politique
Jean Labordère,LH/1417/2,,magistrat | personnalité politique | avocat
Pierre Jean-Baptiste Descordes,LH/746/26,,personnalité politique
Omer Dussaussoy,LH/878/4,,personnalité politique
Pierre Villot de Fréville,LH/2722/49,,personnalité politique
Louis Archambaud de Douglas,LH/46/17,,personnalité politique
Laurent Coppens,LH/585/66,,personnalité politique
Georges Durand d'Elecourt,LH/869/47,,personnalité politique
Joseph Van Merris-Hinderick,LH/2673/45,,personnalité politique
Joseph de l'Epine,LH/899/41,,personnalité politique
Jean-François Thourel,LH/2603/5,,personnalité politique | avocat
Louis Denayrouze,LH/729/103,,personnalité politique | ingénieur
César Falentin de Saintenac,LH/928/35,,personnalité politique
Hyacinthe-Benjamin Gerbidon,LH/1121/53,,administrateur colonial
Jacques Denis Laporte,LH/1478/85,,personnalité politique
Jean Antoine d’Agoult,LH/10/67,,personnalité politique
Joseph Rieder,19800035/1370/58321,,personnalité politique
"Marie, Jean, François De Biaudos De Castéja",LH/233/2,,personnalité politique
Jean-Baptiste Delgorgue de Rosny,LH/712/46,,personnalité politique
Louis Oudard Dixmude de Montbrun,LH/781/33,,personnalité politique
Charles-Bruno Francoville,LH/1029/18,,personnalité politique
Valentin Charles Hubert Malet de Coupigny,LH/1705/13,,personnalité politique
André De Biaudos De Castéja,LH/444/69,,personnalité politique
Alexandre Romain Crochon,LH/632/21,,personnalité politique
Antoine Edme Delahuproye,LH/697/87,,personnalité politique
César Marie Lehir,LH/1566/60,,personnalité politique
Charles Louis Just Bryon,LH/386/75,,magistrat | personnalité politique
Charles Louis Just Bryon,LH/386/76,,magistrat | personnalité politique
Claude Antoine Vouty de La Tour,LH/2739/26,,personnalité politique
Claude Lamy,LH/1463/28,,personnalité politique
Étienne Jean Guillaume Ducasse de Horgues,LH/820/36,,personnalité politique
François Gabriel Simon,LH/2521/18,,personnalité politique
Gabriel Catherine Suchet,LH/2556/36,,personnalité politique
Gilles Louis Antoine De Grandsaigne,LH/1189/22,,personnalité politique
Henri Louis Martin De Villers,LH/1767/34,,personnalité politique
Ignace Alexandre Colonna d'Istria,LH/573/55,,personnalité politique
Isaac Etienne Peyrot,LH/2135/56,,personnalité politique
Jean Pourtier,19800035/1296/49902,,romancier | journaliste | personnalité politique
Jean François Gaspard Fornier de Clauselles,LH/1001/15,,personnalité politique
Jean Pierre Esprit Fornier de Savignac,LH/1001/23,,personnalité politique
Jean-Pierre Bruyas,LH/385/79,,personnalité politique
Joseph Pierre Anne de Pérès,LH/2096/79,,personnalité politique
Joseph Thibaud Calvet de Madaillan,LH/411/68,,personnalité politique
Laurent Leclerc,LH/1531/56,,personnalité politique
Louis de Séganville,LH/2491/46,,personnalité politique
Louis Claude Boucher,LH/305/83,,personnalité politique
Marie Nicolas Louis Marquette de Fleury,LH/1750/37,,maître de forges | personnalité politique
Mathieu Joseph Guillaume de Saint-Amour,LH/2435/22,,personnalité politique
Michel Eusèbe Mathias Betting de Lancastel,LH/227/23,,personnalité politique
Pierre Germain Dartonne,LH/664/45,,magistrat | personnalité politique
Victor Alexandre Masson,LH/1784/52,,personnalité politique
Yves Claude Jourdain,LH/1381/28,,personnalité politique
Auguste Guillaume Josse-Beauvoir,LH/1375/36,,personnalité politique
Antoine Léger Sartelon,LH/2461/74,,personnalité politique
Jean Arnaud Vincent Cabannes de Cauna,LH/399/40,,personnalité politique
Louis Félix Joseph Marie de Charbonnel,LH/487/26,,personnalité politique
Louis Nicolas Jean Joachim de Cayrol,LH/456/84,,personnalité politique
Sébastien Deblaye,LH/678/74,,personnalité politique
François Sernin,LH/2504/88,,personnalité politique
Charles Ambroise Gacon,LH/1050/24,,personnalité politique
