pays,ville,coordonnesgroup
Maroc,Souk El Arbaa,Point(-5.98 34.68)
Maroc,Khouribga,Point(-6.9 32.88)
Maroc,Séfrou,Point(-4.83 33.83)
Maroc,Nouaceur,Point(-7.61138889 33.36111111)
Maroc,Laghdir,Point(-5.88333333 35.73333333)
Maroc,Kassita,Point(-3.72785 34.887311111)
Maroc,Aguelmous,Point(-5.83333333 33.15)
Maroc,Ben Taïeb,Point(-3.45722 35.04278) | Point(-3.4824 35.06756) | Point(-3.469555 35.083706)
Maroc,Ait Ouabelli,Point(-8.538611111 29.2275)
Maroc,Bni Gmil,Point(-4.424166666 35.0675)
Maroc,Moulay Yaâcoub,Point(-5.18111 34.0878)
Maroc,Bni Hadifa,Point(-4.14083333 35.02277778)
Maroc,Bni Khaled,Point(-2.033055555 34.860833333) | Point(-2.02101 34.86142)
Maroc,Boulanouare,Point(-8.053064 32.866741) | Point(-6.78402 32.87929)
Maroc,Bradia,Point(-6.53333333 32.43333333)
Maroc,Mejatte,Point(-5.513055555 33.818333333)
Maroc,Mechraa Hammadi,Point(-2.79183 34.723282)
Maroc,Deroua,Point(-7.53333333 33.41666667) | Point(-7.533333 33.41667)
Maroc,El Hanchane,Point(-9.43389 31.5197)
Maroc,El Ksiba,Point(-6.03083333 32.56805556)
Maroc,Ait El Mane,Point(-3.58138889 33.39527778)
Maroc,Ait Oum El Bekht,Point(-5.888333333 32.662777777)
Maroc,Aït Sidi Daoud,Point(-7.644017 31.634539)
Maroc,Ajdir (Taza),Point(-4.14083 35.0228)
Maroc,Foum Zguid,Point(-6.87361111 30.08611111)
Maroc,Ghafsai,Point(-4.91119 34.62455) | Point(-4.91666667 34.63333333)
Maroc,Taourirt,Point(-2.89 34.41)
Maroc,Jerada,Point(-2.16 34.31)
Maroc,Idmine,Point(-9.373055555 30.61)
Maroc,Imsouane,Point(-9.818566 30.843374)
Maroc,Ain Lehjer,Point(-2.37204 34.59486)
Maroc,Oulad Ali Youssef,Point(-3.58138889 33.39527778)
Maroc,Oulad Gnaou,Point(-6.50055556 32.32777778)
Maroc,Oulad M'Hammed,Point(-3.02658 33.720428)
Maroc,Oulad Said L'Oued,Point(-6.3675 32.544166666)
Maroc,Beni Malek,Point(-6.057222222 34.758333333)
Maroc,Amtar,Point(-4.79433 35.238469)
