leonoreid,diplomes,professions
LH/202/42,,hypnotiseur | psychanalyste | professeur d'université | neurologue | médecin
19800035/823/93797,,aviateur | aérostier
LH/657/1,,sculpteur
LH/448/64,,théoricien de la musique | professeur de musique | musicologue | professeur d'université | chef d'orchestre | compositeur
19800035/1186/37585,,professeur de musique | musicologue | professeur d'université | organiste | chef d'orchestre | compositeur
LH/1094/28,,journaliste | espérantiste | personnalité politique | enseignant
LH/646/3,,peintre | photographe
LH/2066/27,,helléniste | latiniste | érudit classique | traducteur
LH/757/30,,prêtre catholique
19800035/875/2754,,peintre
LH/1282/48,,peintre
LH/143/8,,professeur d'université | théologien | prêtre catholique | historien | écrivain
LH/35/35,,officier | personnalité politique | militaire
LH/1946/74,,peintre
LH/2259/19,,officier | ingénieur militaire
LH/2060/50,,chef d'orchestre
LH/1876/54,,mycologue | botaniste | professeur d'université
19800035/416/55649,,joueur de rugby à XV | médecin
LH/2794/19,,biologiste marin | zoologiste
LH/828/19,,inventeur | personnalité du monde des affaires
LH/403/38,,agronome | prêtre catholique | personnalité politique
LH/578/55,,professeur d'université | psychologue | personnalité politique
LH/2767/37,,ingénieur naval | ingénieur militaire | ingénieur
19800035/354/47625,,professeur d'université | juriste | juge
LH/2384/75,,diplomate | économiste | juriste | professeur | personnalité politique
19800035/402/53794,,biologiste | vétérinaire
LH/541/39,,officier | personnalité politique
LH/2301/6,,lithographe | peintre | illustrateur | graveur
19800035/1375/58899,,architecte
LH/87/64,,officier | personnalité politique | militaire
LH/886/21,,pianiste | compositeur
LH/981/11,,explorateur | militaire
LH/537/22,,auteur-compositeur | musicien | chef d'orchestre | compositeur
LH/510/27,,dramaturge | poète
LH/2296/14,,poète | écrivain
LH/2634/55,,médecin interniste | personnalité politique
LH/871/40,,géographe | artiste | historien | naturaliste | écrivain
LH/451/80,,diplomate | personnalité politique | militaire
19800035/1004/16102,,joueur de water-polo | nageur | réalisateur | journaliste | dramaturge | scénariste
LH/863/93,,anatomiste | pathologiste | professeur d'université | chirurgien | médecin
LH/343/10,,théologien | prêtre catholique
19800035/197/25772,,résistant | journaliste | personnalité politique
LH/1841/53,,aviateur
19800035/1021/17943,,professeur | anthropologue | archéologue | chercheur
LH/119/41,,agronome | aérostier | chimiste
LH/791/60,,officier de marine
LH/1779/52,,mathématicien | ingénieur
19800035/218/28574,,peintre
LH/2268/58,,physiologiste | botaniste | biologiste | chimiste | personnalité politique
LH/430/54,,philosophe
LH/556/53,,communard | officier | personnalité politique | militaire
19800035/909/6182,,peintre
LH/2476/15,,militaire
19800035/1330/54107,,ingénieur ferroviaire | ingénieur électricien | inventeur | ingénieur
19800035/699/79883,,archéologue | égyptologue | professeur
19800035/1114/27554,,graveur | artiste graphique | sculpteur | peintre | illustrateur
LH/100/4,,architecte
19800035/1221/40963,,professeur d'université | mathématicien
LH/2732/20,,archéologue classique | conservateur | traducteur | diplomate | personnalité politique
19800035/140/17790,,industriel | ingénieur | poète | écrivain
LH/811/11,,dessinateur de timbres | médailleur
LH/824/1,,linguiste | historien de l'Église | prêtre catholique | historien | professeur
LH/298/31,,lichénologue | botaniste
19800035/832/94902,,ingénieur civil | Ingénieur structure | ingénieur des ponts et chaussées | ingénieur
LH/829/6,,officier | personnalité politique | militaire
LH/2243/66,,professeur des universités | anthropologue | biologiste | zoologiste | naturaliste
LH/1062/8,,officier | personnalité politique | militaire
LH/2351/23,,lithographe | peintre
LH/2127/25,,romaniste | professeur d'université | historien
LH/873/2,,bryologiste | botaniste
LH/1698/41,,diplomate | officier | personnalité politique
LH/2481/17,,byzantiniste | numismate | historien
LH/1327/5,,personnalité politique | militaire
LH/3/7,,peintre
LH/666/7,,spéléologue | géologue | professeur
19800035/85/10643,,théologien | prêtre catholique | écrivain
LH/321/15,,mathématicien
LH/415/32,,personnalité politique | militaire
LH/598/105,,ichtyologiste | biologiste marin | professeur d'université | zoologiste | naturaliste
LH/643/48,,critique littéraire | journaliste | historien | écrivain
LH/1312/68,,collectionneur d'œuvres d'art | critique littéraire | journaliste | poète | écrivain
LH/667/59,,personnalité politique | militaire | collectionneur d'œuvres d'art | historien
LH/1968/3,,diplomate | personnalité politique
19800035/3/389,,dramaturge | scénariste
LH/1947/68,,ingénieur
19800035/662/76150,,alpiniste | guide de haute montagne
LH/2364/3,,violoniste | compositeur
LH/1822/21,,assyriologue | linguiste | philologue | magistrat | orientaliste
LH/1509/32,,diplomate | personnalité politique | militaire
LH/658/48,,prêtre catholique | personnalité politique
LH/821/63,,personnalité politique
LH/1914/63,,homme d'État | personnalité politique
LH/2043/66,,professeur de chant | compositeur
LH/1336/6,,lithographe | peintre
LH/2322/37,,ptéridologue | bryologiste | illustrateur botanique | botaniste
LH/589/25,,sculpteur
LH/664/52,,linguiste | traducteur | historien | diplomate | officier | personnalité politique | poète | écrivain
19800035/790/89289,,aviateur
LH/782/44,,officier | militaire
LH/549/73,,historien | économiste | bibliothécaire
LH/44/10,,professeur d'université | mathématicien
LH/1990/2,,explorateur | cartographe | géographe | mathématicien | astronome
LH/2352/55,,anatomiste | botaniste | physiologiste | biologiste | professeur | personnalité politique | médecin
19800035/459/61465,,archéologue | égyptologue | conservateur
LH/2728/44,,physicien
19800035/1219/40728,,historien de la musique | musicologue
19800035/1366/57905,,musicologue | peintre | organiste | poète | compositeur
LH/2150/38,,pianiste | personnalité politique | militaire
LH/1942/14,,prêtre catholique | personnalité politique
19800035/309/41612,,mycologue | botaniste
LH/1157/72,,chimiste | pharmacien
LH/2461/49,,personnalité politique | avocat
19800035/1464/69372,,linguiste | professeur d'université
LH/997/1,,lithographe | dessinateur | aquafortiste | caricaturiste | artiste graphique | sculpteur | peintre | illustrateur | graveur
LH/2275/28,,physicien | personnalité politique | médecin
LH/1901/44,,personnalité politique
LH/2603/55,,inventeur
LH/667/80,,officier | personnalité politique | militaire | écrivain
LH/413/15,,banquier | diplomate | avocat
LH/1273/44,,journaliste | banquier | traducteur
LH/1235/46,,historien | officier | militaire | écrivain
19800035/278/37243,,biologiste marin | biologiste | zoologiste | photographe
LH/906/54,,personnalité politique | militaire
LH/618/85,,officier | personnalité politique | militaire
LH/2762/26,,banquier | diplomate | économiste | juriste | personnalité politique | avocat
LH/1523/49,,linguiste | traducteur | juriste | personnalité politique
19800035/184/23959,,professeur de musique | professeur d'université | pianiste | compositeur | enseignant
LH/1034/52,,lithographe | peintre
LH/839/5,,personnalité politique | militaire | écrivain
LH/1536/28,,sculpteur | peintre
LH/485/63,,chimiste | personnalité politique
LH/1252/24,,urologue | chirurgien
19800035/799/90441,,peintre | enseignant
LH/1090/13,,personnalité politique
LH/201/62,,auteur de roman policier | romancier | dramaturge | écrivain | scénariste
LH/107/22,,historien | diplomate | juriste | personnalité politique | écrivain
LH/850/7,,philosophe | prêtre catholique | personnalité politique
LH/2163/6,,peintre
LH/1299/31,,helléniste | archéologue | historien de l'art | orientaliste | conservateur | historien | professeur
LH/41/78,,diplomate | personnalité politique | militaire
19800035/1469/70098,,indianiste | philosophe | sociologue | professeur
19800035/355/47681,,sculpteur
19800035/1178/36451,,athlète
LH/258/74,,statisticien | économiste
LH/2210/15,,physicien | personnalité politique
19800035/197/25726,,ingénieur en aérospatiale | aviateur | ingénieur
LH/1154/63,,lithographe | peintre
LH/1166/60,,librettiste | dramaturge | écrivain
LH/2761/44,,astronome
LH/1205/68,,
LH/1250/24,,poète | écrivain
LH/2679/33,,historien de l'architecture | architecte
LH/2626/25,,diplomate | personnalité politique | avocat | juge
LH/589/23,,sinologue | orientaliste | historien
C/0/48,,personnalité politique | militaire
LH/1725/15,,architecte
LH/935/21,,mathématicien | astronome
LH/1259/22,,librettiste | parolier | dramaturge | écrivain
LH/863/87,,sous-marinier | aérostier | ingénieur militaire | personnalité politique | ingénieur | personnalité du monde des affaires | architecte
19800035/456/61061,,pétrographe | cartographe | géologue | professeur
LH/2022/2,,explorateur | peintre | écrivain | photographe | naturaliste
LH/771/35,,graveur | peintre
LH/762/3,,peintre
LH/290/18,,écologue | entomologiste | botaniste | professeur d'université | pédagogue | biologiste
LH/1373/26,,critique | critique musical | compositeur
19800035/552/63046,,indianiste | linguiste | professeur
LH/245/52,,romancier | dramaturge | scénariste
LH/1473/46,,militaire
LH/599/22,,historien de l'art | peintre | ingénieur | architecte
LH/1584/46,,librettiste | journaliste | historien | personnalité politique | avocat | écrivain
19800035/930/8376,,mathématicien
LH/2508/3,,mathématicien | professeur | astronome
LH/2270/5,,juriste
LH/2511/21,,compositeur
LH/1502/8,,mathématicien
19800035/1352/56686,,professeur d'université | mathématicien
19800035/562/64044,,mathématicien
19800035/395/52918,,collectionneur d'œuvres d'art | marchand d'art
LH/919/54,,professeur d'art | philanthrope | collectionneur d'œuvres d'art | peintre
LH/11/88,,romancier | dramaturge | poète | écrivain
LH/1247/9,,professeur de musique | chorégraphe | professeur d'université | pédagogue | pianiste | compositeur
LH/1616/88,,explorateur | diplomate | écrivain
LH/465/30,,agronome | vétérinaire
LH/826/64,,inventeur | photographe
LH/1187/35,,explorateur | entomologiste | botaniste | ornithologue | zoologiste | géographe
19800035/734/83323,,concepteur de meubles | céramiste | designer | peintre | sculpteur
LH/765/63,,lithographe | artiste graphique | peintre
LH/1262/69,,peintre
LH/2299/21,,entrepreneur
LH/1928/49,,psychiatre | psychologue
19800035/551/62916,,chimiste | inventeur | physicien | ingénieur
LH/1774/43,,haut fonctionnaire | personnalité politique
19800035/251/33512,,ingénieur civil | inventeur | ingénieur
19800035/128/16186,,personnalité politique | avocat
LH/1211/69,,mycologue | dermatologue | microbiologiste | médecin
LH/666/70,,journaliste | historien | écrivain
19800035/230/30487,,critique d'art | historien de l'art | conservateur
LH/1877/14,,journaliste | diplomate | écrivain
LH/1579/70,,éditeur
LH/2493/42,,inventeur | entrepreneur | ingénieur
LH/1914/32,,officier de la Marine française | personnalité politique
19800035/334/44951,,linguiste | écrivain de science-fiction | dramaturge | traducteur | poète | écrivain
LH/1473/65,,critique littéraire | pédagogue | romaniste | historien de l'art | historien | professeur | écrivain
LH/2455/9,,architecte
LH/29/51,,officier
LH/1629/10,,rabbin
19800035/833/95018,,escrimeur
LH/2166/46,,peintre
LH/9/49,,prêtre catholique
LH/109/32,,librettiste | dramaturge | traducteur | poète | écrivain
LH/1765/20,,industriel | ingénieur
19800035/618/69941,,explorateur | alpiniste
19800035/1221/40923,,philologue classique | professeur d'université
LH/1264/51,,médecin interniste
LH/422/58,,bibliothécaire
LH/1944/8,,préhistorien | anthropologue | archéologue | professeur d'université | professeur | personnalité politique
19800035/865/1530,,sculpteur | peintre
LH/530/34,,ingénieur civil | historien de l'architecture | professeur des écoles | ingénieur des ponts et chaussées | historien de l'art | professeur d'université | écrivain
LH/844/56,,herpétologiste | entomologiste | ichtyologiste | zoologiste
LH/1448/48,,entrepreneur | personnalité politique
19800035/89/11169,,administrateur colonial | personnalité politique | maire
LH/1500/30,,chimiste
LH/1715/40,,juriste
LH/1721/56,,romancier | dramaturge | écrivain
LH/1831/29,,officier | personnalité politique | militaire
LH/444/22,,archéologue | historien | bibliothécaire
LH/2025/52,,sculpteur
LH/2085/14,,collectionneur d'œuvres d'art
LH/2092/12,,philosophe | historien
19800035/35/4519,,explorateur | diplomate | personnalité politique
LH/2193/38,,botaniste | paléontologue | géologue | personnalité politique
LH/2269/24,,inventeur | personnalité politique | ingénieur
LH/2513/52,,prêtre catholique | personnalité politique
LH/2554/1,,personnalité politique
LH/2318/15,,architecte
LH/172/7,,diplomate | personnalité politique | militaire
LH/652/29,,anthropologue | fonctionnaire | géologue
LH/859/9,,médailleur
19800035/298/40041,,chef d'orchestre | enseignant | compositeur
LH/2316/45,,peintre
19800035/1295/49755,,officier
LH/1984/23,,personnalité politique | militaire
LH/1548/66,,personnalité politique | ingénieur
19800035/548/62608,,anthropologue | archéologue | historien de l'art | historien | professeur
